participant_id,side,phase,window_idx,window_start,window_end,temp_mean,temp_std,temp_min,temp_max,temp_range,temp_median,temp_iqr,temp_skewness,temp_kurtosis,temp_slope,temp_mean_diff,temp_std_diff
MIT021,RIGHT,Baseline,10,2025-11-14T12:50:29.183635,2025-11-14T12:51:28.183709,29.816022153882063,0.09228017588817891,29.646587192127935,29.964775422359978,0.31818823023204246,29.81964781534476,0.15298543902028428,-0.09335556867427655,-1.136565050199835,0.005323710501832811,0.00539302085139055,0.0009829498977923816
MIT021,RIGHT,Baseline,11,2025-11-14T12:50:59.183673,2025-11-14T12:51:58.183746,29.967552532723584,0.08460233762493062,29.822328859057073,30.115643519347632,0.29331466029055875,29.966950338343317,0.1348613786212276,0.0195501415921941,-1.1079553519549203,0.004881113322227784,0.004971434920178962,0.0008750781214878281
MIT021,RIGHT,Baseline,12,2025-11-14T12:51:29.183710,2025-11-14T12:52:28.183784,30.111100453115018,0.08260279761841247,29.969125254326652,30.251158902224105,0.2820336478974532,30.117891752677444,0.1478436985616014,-0.09315943193074598,-1.2259539938289112,0.004763307981612658,0.004780231320295817,0.0009410869553098924
MIT021,RIGHT,Descriptive_Stress,0,2025-11-14T12:53:19.183848,2025-11-14T12:54:18.183922,30.462260802681154,0.011655578519863425,30.43569748280341,30.47576090036881,0.04006341756540266,30.466676794148746,0.021514160998734155,-0.8132754879902466,-0.7011919861351319,0.0006045381965136866,0.0009723305422144236,0.0010260923202598101
MIT021,RIGHT,Descriptive_Stress,1,2025-11-14T12:53:49.183886,2025-11-14T12:54:48.183959,30.474648917096534,0.0037119371193127925,30.46731218024149,30.48116254430988,0.013850364068389354,30.473938104751255,0.0058918633163500544,0.07520794511341375,-0.9197137835469937,0.00016454061572285117,0.0008126245751702127,0.0009786089050257342
MIT021,RIGHT,Descriptive_Stress,2,2025-11-14T12:54:19.183923,2025-11-14T12:55:18.183997,30.478382680204923,0.0054141982801981965,30.467296257359983,30.492610416202,0.025314158842018486,30.47798514835923,0.005759534038126901,0.6124742776725828,0.7822701679455921,8.292058231689652e-05,0.001207994543329141,0.001504408637668307
MIT021,RIGHT,Descriptive_Stress,3,2025-11-14T12:54:49.183960,2025-11-14T12:55:48.184034,30.487197439705994,0.010194497186590497,30.467296257359983,30.50568601875039,0.0383897613904054,30.48961940783648,0.014821363300605128,-0.21552585872502183,-0.8834912475007122,0.000492776020820283,0.0012488943611580576,0.0014873291706425425
MIT021,RIGHT,Descriptive_Stress,4,2025-11-14T12:55:19.183998,2025-11-14T12:56:18.184072,30.504512119839088,0.01100001420252897,30.48803544668968,30.525248497910013,0.03721305122033414,30.504590570917966,0.02083179767456045,0.20656552880131449,-1.2546550083194383,0.0006118915278251498,0.0009737651473460621,0.001100714913509766
MIT021,RIGHT,Descriptive_Stress,5,2025-11-14T12:55:49.184036,2025-11-14T12:56:48.184110,30.528236583943524,0.01676770592234469,30.504063716260703,30.558218006928115,0.0541542906674124,30.526798475160817,0.02269075354629635,0.2876111908866252,-1.013014924759158,0.0009506503622161807,0.0011510937564480025,0.001236428962716542
MIT021,RIGHT,Descriptive_Stress,6,2025-11-14T12:56:19.184073,2025-11-14T12:57:18.184147,30.56541949203417,0.025984275463498765,30.528348452411624,30.614992580990293,0.08664412857866921,30.559388428703514,0.05144967146850732,0.23433676783208707,-1.2971037210918472,0.0014845516848700066,0.0015647739183738765,0.001136094176971199
